ID,condition,group,variable,value
0,0,0,frontal_high_alpha,0.1650731671576731
1,0,0,frontal_high_alpha,0.1591032143463683
2,0,1,frontal_high_alpha,0.1560953100642256
4,0,0,frontal_high_alpha,0.1586624240858046
5,0,0,frontal_high_alpha,0.1605677579750041
6,0,1,frontal_high_alpha,0.1546369798160172
7,0,0,frontal_high_alpha,0.1655480709352955
8,0,0,frontal_high_alpha,0.1656082259265854
9,0,0,frontal_high_alpha,0.1752069535863768
10,0,1,frontal_high_alpha,0.1490342700597431
11,0,1,frontal_high_alpha,0.1828419717012785
12,0,0,frontal_high_alpha,0.1546344603780374
13,0,0,frontal_high_alpha,0.1542562787742333
14,0,0,frontal_high_alpha,0.1534870277101375
15,0,1,frontal_high_alpha,0.1587007478909017
16,0,1,frontal_high_alpha,0.15485524708795
17,0,0,frontal_high_alpha,0.1568773709813922
20,0,1,frontal_high_alpha,0.1605923163932416
23,0,0,frontal_high_alpha,0.1449262290063918
24,0,0,frontal_high_alpha,0.1395306053208982
26,0,1,frontal_high_alpha,0.1563801481025865
28,0,0,frontal_high_alpha,0.1637811046693822
31,0,0,frontal_high_alpha,0.1587919070521636
32,0,1,frontal_high_alpha,0.1591125950150356
33,0,0,frontal_high_alpha,0.1593053957579592
34,0,1,frontal_high_alpha,0.1544902431981181
0,1,0,frontal_high_alpha,0.1633163400631909
1,1,0,frontal_high_alpha,0.1571037750195041
2,1,1,frontal_high_alpha,0.1547391715706538
4,1,0,frontal_high_alpha,0.162772887426047
5,1,0,frontal_high_alpha,0.1586461919900388
6,1,1,frontal_high_alpha,0.1561716214801561
7,1,0,frontal_high_alpha,0.1674265812342682
8,1,0,frontal_high_alpha,0.1632842242519381
9,1,0,frontal_high_alpha,0.1719021782223814
10,1,1,frontal_high_alpha,0.1489120411333904
11,1,1,frontal_high_alpha,0.176864887655547
12,1,0,frontal_high_alpha,0.1528691736264825
13,1,0,frontal_high_alpha,0.1523856531170556
14,1,0,frontal_high_alpha,0.153067599324801
15,1,1,frontal_high_alpha,0.1619759463848796
16,1,1,frontal_high_alpha,0.1609054946379976
17,1,0,frontal_high_alpha,0.1591886080726335
20,1,1,frontal_high_alpha,0.1653612214465407
