ID,condition,group,variable,value
0,0,0,frontal_high_alpha,0.16507316715767317
1,0,0,frontal_high_alpha,0.15910321434636837
2,0,1,frontal_high_alpha,0.15609531006422567
4,0,0,frontal_high_alpha,0.15866242408580464
5,0,0,frontal_high_alpha,0.16056775797500414
6,0,1,frontal_high_alpha,0.1546369798160172
7,0,0,frontal_high_alpha,0.16554807093529553
8,0,0,frontal_high_alpha,0.16560822592658545
9,0,0,frontal_high_alpha,0.17520695358637683
10,0,1,frontal_high_alpha,0.14903427005974312
11,0,1,frontal_high_alpha,0.1828419717012785
12,0,0,frontal_high_alpha,0.15463446037803746
13,0,0,frontal_high_alpha,0.15425627877423337
14,0,0,frontal_high_alpha,0.15348702771013753
15,0,1,frontal_high_alpha,0.15870074789090172
16,0,1,frontal_high_alpha,0.15485524708795
17,0,0,frontal_high_alpha,0.15687737098139223
20,0,1,frontal_high_alpha,0.16059231639324167
23,0,0,frontal_high_alpha,0.14492622900639188
24,0,0,frontal_high_alpha,0.1395306053208982
26,0,1,frontal_high_alpha,0.15638014810258652
28,0,0,frontal_high_alpha,0.16378110466938228
30,0,1,frontal_high_alpha,0.15797601858285137
31,0,0,frontal_high_alpha,0.15879190705216362
32,0,1,frontal_high_alpha,0.15911259501503566
33,0,0,frontal_high_alpha,0.15930539575795924
34,0,1,frontal_high_alpha,0.1544902431981181
0,1,0,frontal_high_alpha,0.16331634006319093
1,1,0,frontal_high_alpha,0.15710377501950415
2,1,1,frontal_high_alpha,0.15473917157065387
4,1,0,frontal_high_alpha,0.162772887426047
5,1,0,frontal_high_alpha,0.15864619199003885
6,1,1,frontal_high_alpha,0.15617162148015618
7,1,0,frontal_high_alpha,0.1674265812342682
8,1,0,frontal_high_alpha,0.1632842242519381
9,1,0,frontal_high_alpha,0.17190217822238146
10,1,1,frontal_high_alpha,0.14891204113339043
11,1,1,frontal_high_alpha,0.176864887655547
12,1,0,frontal_high_alpha,0.15286917362648259
13,1,0,frontal_high_alpha,0.1523856531170556
14,1,0,frontal_high_alpha,0.15306759932480102
15,1,1,frontal_high_alpha,0.1619759463848796
16,1,1,frontal_high_alpha,0.16090549463799764
17,1,0,frontal_high_alpha,0.1591886080726335
20,1,1,frontal_high_alpha,0.16536122144654075
23,1,0,frontal_high_alpha,0.14053307025321374
24,1,0,frontal_high_alpha,0.14638540303631223
26,1,1,frontal_high_alpha,0.15730638712993225
28,1,0,frontal_high_alpha,0.1629144720557118
30,1,1,frontal_high_alpha,0.16261623757826146
31,1,0,frontal_high_alpha,0.15388946955330562
32,1,1,frontal_high_alpha,0.15784825965747912
33,1,0,frontal_high_alpha,0.16154619665608191
34,1,1,frontal_high_alpha,0.15810461081140575
0,0,0,temporal_high_alpha,0.18777794906145093
1,0,0,temporal_high_alpha,0.17277544487089466
2,0,1,temporal_high_alpha,0.16104178806629343
4,0,0,temporal_high_alpha,0.16675298257985544
5,0,0,temporal_high_alpha,0.18074621469347188
6,0,1,temporal_high_alpha,0.17475827150001236
7,0,0,temporal_high_alpha,0.18884488537972094
8,0,0,temporal_high_alpha,0.17793938308692087
9,0,0,temporal_high_alpha,0.19832551899037973
10,0,1,temporal_high_alpha,0.1662204002781603
11,0,1,temporal_high_alpha,0.19733068587808408
12,0,0,temporal_high_alpha,0.16661702719816188
13,0,0,temporal_high_alpha,0.17250672880454185
14,0,0,temporal_high_alpha,0.17607401444888787
15,0,1,temporal_high_alpha,0.16801226741899355
16,0,1,temporal_high_alpha,0.16741665462564786
17,0,0,temporal_high_alpha,0.17130120972929924
20,0,1,temporal_high_alpha,0.1761659506943728
23,0,0,temporal_high_alpha,0.1667173729820627
24,0,0,temporal_high_alpha,0.15205707345681188
26,0,1,temporal_high_alpha,0.17837124704112162
28,0,0,temporal_high_alpha,0.1797794578474344
30,0,1,temporal_high_alpha,0.17528589693034521
31,0,0,temporal_high_alpha,0.17271651739351693
32,0,1,temporal_high_alpha,0.17093070392711351
33,0,0,temporal_high_alpha,0.1601464889289724
34,0,1,temporal_high_alpha,0.16951843995151197
0,1,0,temporal_high_alpha,0.18687147115425445
1,1,0,temporal_high_alpha,0.17000490461344045
2,1,1,temporal_high_alpha,0.1670390452816717
4,1,0,temporal_high_alpha,0.17916040088323618
5,1,0,temporal_high_alpha,0.17182774592656708
6,1,1,temporal_high_alpha,0.17382609436770474
7,1,0,temporal_high_alpha,0.18820878750018827
8,1,0,temporal_high_alpha,0.18017185884842954
